StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
4,0,200001,5.09,45.8,-0.05,-1.95,-0.14,-1.95,0,477,0.52,-0.46,-0.52,-0.7,-0.81,-0.5,0.98,36.6,54.9
4,0,200002,6.93,47.2,1,-0.75,3,0.72,0,427,1.26,1.08,0.36,0.09,0.09,-0.14,0.39,38.4,56
4,0,200003,1.92,50.2,-0.54,-1.21,-1.61,-0.48,1,414,-0.53,0.69,0.71,-0.06,-0.07,-0.16,0.14,38.6,61.7
4,0,200004,1.8,57.8,-0.56,-1.17,-0.25,-0.52,20,235,0.37,-0.29,0.68,0.07,-0.05,-0.14,0.1,44.6,71.1
4,0,200005,0.94,63.9,-0.42,-0.97,0.25,-0.19,63,121,0.31,0.33,-0.27,0.15,-0.04,-0.04,-0.13,50.4,77.3
4,0,200006,0.31,72.2,-0.44,-0.93,-0.19,-0.22,158,23,0.13,0.23,0.28,0.69,0,-0.02,-0.18,57.3,87
4,0,200007,0.06,73.5,-0.8,-1.24,-1.22,-0.87,186,11,-1.03,-0.33,0.06,0.65,0.07,-0.06,-0.2,58.5,88.5
4,0,200008,0.27,75,-0.79,-1.18,-0.2,-0.82,251,2,0.42,-0.14,-0.19,-0.29,0.15,-0.04,-0.17,60.1,89.8
4,0,200009,0.35,69.1,-0.83,-1.18,-0.36,-0.88,139,25,0.12,0.16,-0.15,0.18,0.67,-0.01,-0.23,54.6,83.6
4,0,200010,2.2,58.4,-0.11,-0.11,1.91,0.64,14,192,1.09,0.96,0.97,0.77,0.81,0.21,-0.06,46.5,70.2
4,0,200011,0.79,46,-0.76,-0.76,-1.99,-0.76,0,463,-1.12,-0.25,-0.29,-0.34,-0.57,-0.07,-0.48,34.8,57.2
4,0,200012,0.77,46.5,-1.93,-1.93,-3.76,-1.93,0,442,-1.53,-1.71,-1.17,-1.26,-1.08,-0.05,-0.6,35.4,57.7
4,0,200101,3.52,42.3,-2.35,-2.35,-1.84,-2.35,0,593,-0.05,-0.96,-1.31,-1.01,-1,-0.37,-0.66,32,52.6
4,0,200102,4.42,43.1,-2.06,-2.06,0.14,-1.93,0,529,0.45,0.18,-0.56,-0.7,-0.72,-0.86,-0.66,33.6,52.6
4,0,200103,2.21,52.6,-2.36,-2.36,-1.56,-2.36,4,358,-0.35,0.07,-0.06,-0.78,-0.81,-0.75,-0.69,40.9,64.3
4,0,200104,1.75,52,-1.99,-1.99,0.39,-1.75,2,379,0.33,-0.18,0.09,-0.93,-0.7,-0.7,-0.69,39.7,64.4
4,0,200105,0.15,68.6,-2.36,-2.36,-1.72,-2.36,106,69,-1.7,-0.35,-0.54,-0.75,-0.85,-0.88,-0.72,53.3,83.8
4,0,200106,0.23,71.4,-2.66,-2.66,-1.64,-2.66,155,26,-0.18,-1.54,-0.43,-0.21,-0.85,-0.89,-0.72,56.4,86.3
4,0,200107,0.28,74.2,-2.79,-2.79,-1.2,-2.79,197,7,0.94,0.16,-1.23,-0.1,-1.08,-0.84,-0.72,59.7,88.8
4,0,200108,0.05,76,-2.89,-2.89,-1.18,-2.89,249,2,-1.21,-0.14,-0.43,-0.61,-0.78,-0.89,-0.74,60.6,91.4
4,0,200109,0.3,71.2,-2.82,-2.82,-0.68,-2.82,160,18,-0.03,-0.59,-0.27,-0.57,-0.24,-0.89,-0.73,56.4,86.1
4,0,200110,0.65,63.6,-3.09,-3.09,-1.67,-3.09,56,94,-0.52,-0.67,-0.88,-1.52,-0.36,-1.27,-0.73,49.8,77.5
4,0,200111,4.21,51.6,-2.24,-2.24,1.59,-1.53,4,324,1.05,0.68,0.63,0.54,-0.16,-0.58,-0.49,41.4,61.7
4,0,200112,5.25,42.8,-1.41,-1.41,1.78,0.04,0,566,0.78,1.08,0.86,0.82,0.57,0.22,0.06,34.4,51.2
4,0,200201,2.22,42.4,-1.69,-1.69,-1.26,-0.73,0,581,-0.66,0.05,0.39,0.19,0.02,-0.01,-0.35,32.1,52.5
4,0,200202,1.45,48.2,-2.24,-2.24,-2.18,-2.03,0,387,-0.98,-1.22,-0.5,-0.26,-0.3,-0.59,-0.94,35.7,60.7
4,0,200203,1.91,48.5,-2.48,-2.48,-1.41,-2.48,0,451,-0.54,-1.16,-1.32,-0.4,-0.44,-0.58,-0.95,36,61
4,0,200204,0.88,56,-2.68,-2.68,-1.38,-2.68,10,293,-0.59,-0.82,-1.34,-0.42,-0.57,-0.71,-1.05,43.3,68.7
4,0,200205,0.59,61.5,-2.58,-2.58,-0.53,-2.58,29,179,-0.29,-0.78,-0.95,-0.87,-0.58,-0.62,-1.12,47.4,75.5
4,0,200206,0.07,71.2,-2.76,-2.76,-1.32,-2.76,126,37,-1.04,-0.78,-1.01,-1.57,-0.6,-0.64,-1.15,56,86.5
4,0,200207,0.06,77.4,-3.07,-3.07,-1.8,-3.07,261,0,-1.03,-1.45,-1.07,-1.63,-0.53,-0.69,-1.15,62.2,92.6
4,0,200208,0.01,74.4,-3.28,-3.28,-1.56,-3.28,209,3,-1.89,-3.09,-1.87,-1.34,-1.02,-0.69,-1.19,58.8,90
4,0,200209,0.11,70.9,-3.37,-3.37,-1.28,-3.37,172,15,-0.91,-1.8,-2.02,-1.78,-1.87,-0.73,-1.22,55.8,86
4,0,200210,0.06,59.4,-3.77,-3.77,-2.26,-3.77,15,184,-1.7,-1.89,-2.19,-2.33,-2.25,-0.89,-1.46,45.5,73.2
4,0,200211,3.18,52.3,0.09,-3.29,0.28,-3.12,7,282,0.55,-0.11,-0.29,-0.65,-1.26,-1.14,-1.18,40.6,64
4,0,200212,8.14,44,1.6,-1.44,4.55,0.56,0,536,1.73,1.59,1.2,1.04,0.63,-0.55,-0.27,35.1,52.9
4,0,200301,1.92,50,0.69,-2.04,-2.24,-0.93,10,353,-0.83,0.7,0.74,0.35,0.19,-0.67,-0.53,39.8,60.1
4,0,200302,2.66,45.7,0.37,-2.07,-0.73,-1.22,0,453,-0.3,-0.85,0.37,0.15,0.03,-0.43,-0.68,35.3,56.2
4,0,200303,2.77,51.4,0.1,-2.09,-0.69,-1.45,4,373,-0.02,-0.32,-0.77,0.16,0.06,-0.2,-0.62,39.7,63
4,0,200304,3.98,50,1.4,-0.57,3.92,1.38,1,408,1.72,0.88,0.37,0.72,0.46,0.34,-0.34,39.4,60.7
4,0,200305,1.09,62,1.53,1.53,0.85,1.53,35,163,0.52,1.64,0.91,0.68,0.52,0.42,-0.23,48.6,75.4
4,0,200306,0.04,71.2,1.53,1.53,0.46,1.53,116,44,-1.27,0.06,1.47,-0.17,0.51,0.42,-0.24,56.4,86.1
4,0,200307,0.22,78.7,-0.19,1.18,-0.58,0.8,320,0,0.54,-0.78,0.12,0.36,0.71,0.45,-0.25,63.5,93.8
4,0,200308,0.57,75,-0.01,1.23,0.5,1.04,272,2,1.59,1.46,0.32,0.92,0.7,0.53,-0.18,60.8,89.2
4,0,200309,0.17,72.9,-0.4,0.7,-1.2,-0.17,206,9,-0.55,0.41,0.45,1.47,-0.13,0.54,-0.21,57.7,88
4,0,200310,0.09,65.4,-1.35,-1.35,-2.96,-1.35,93,61,-1.61,-1.72,-1.11,-1,0.07,0.54,-0.28,50.6,80.2
4,0,200311,2.35,46.8,-1.28,-1.28,-0.21,-1.28,0,435,0.07,-0.59,-0.76,-0.68,0.3,0.39,-0.5,36.9,56.7
4,0,200312,5.77,44,0.66,0.66,1.98,0.66,0,532,0.97,0.69,0.32,0.37,0.93,-0.01,-0.44,35.2,52.8
