StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
4,1,200001,11.96,40.9,0.49,-1.27,1.47,-0.51,0,747,0.68,-0.22,-0.13,-0.25,-0.45,0.22,1.18,34.6,47.2
4,1,200002,12.21,43.5,1.29,1.29,2.56,1.29,0,602,1.01,1.08,0.29,0.2,0.14,-0.01,0.77,37.1,49.9
4,1,200003,3.29,45,-0.71,-0.71,-2.14,-0.71,0,620,-0.76,0.44,0.64,0.02,-0.03,-0.26,0.47,34.3,55.7
4,1,200004,3.72,51.2,-0.6,-0.6,0.12,-0.6,0,414,0.31,-0.47,0.45,0.09,0.01,-0.16,0.48,39.2,63.1
4,1,200005,2.22,54.5,-0.42,-0.42,0.35,-0.42,0,326,0.42,0.37,-0.38,0.04,0,-0.05,0.34,42.7,66.3
4,1,200006,0.55,63.9,-0.45,-0.45,-0.21,-0.45,44,77,-0.14,0.18,0.25,0.61,0.03,-0.02,0.32,48.9,78.9
4,1,200007,0.19,65.4,-0.46,-0.46,-0.19,-0.46,61,49,0.33,-0.12,0.18,0.43,0.09,0,0.32,51.2,79.5
4,1,200008,0.06,67.2,-0.59,-0.59,-0.52,-0.59,88,20,-0.4,-0.3,-0.43,-0.47,0.02,-0.03,0.33,51.7,82.7
4,1,200009,0.61,63,-0.69,-0.69,-0.49,-0.69,31,91,0.08,-0.22,-0.24,0.13,0.57,0.01,0.35,48.9,77
4,1,200010,4.03,53.6,-0.41,-0.41,0.63,-0.41,0,353,0.63,0.5,0.41,0.29,0.43,0.13,0.41,42.3,64.8
4,1,200011,2.59,42.4,-0.99,-0.99,-1.88,-0.99,0,678,-0.92,-0.44,-0.49,-0.59,-0.8,-0.28,-0.21,33.9,50.8
4,1,200012,2.74,42,-1.62,-1.62,-2.19,-1.62,0,713,-1.29,-1.49,-1.15,-1.24,-1.08,-0.29,-0.33,33.7,50.2
4,1,200101,5.07,39.8,-2.12,-2.12,-1.99,-2.12,0,781,-0.7,-1.32,-1.53,-1.37,-1.33,-0.92,-0.48,30.9,48.6
4,1,200102,6.53,40,-1.99,-1.99,-0.28,-1.99,0,700,-0.01,-0.6,-1.2,-1.29,-1.34,-1.4,-0.93,31.6,48.5
4,1,200103,3.8,47.8,-2.46,-2.46,-2,-2.46,0,533,-0.56,-0.41,-0.84,-1.42,-1.49,-1.38,-1.11,36.8,58.9
4,1,200104,2.31,46,-2.41,-2.41,-0.63,-2.41,0,570,-0.35,-0.73,-0.56,-1.64,-1.51,-1.45,-1.11,34.8,57.2
4,1,200105,0.65,60.4,-2.86,-2.86,-2.09,-2.86,22,165,-0.91,-0.86,-1.02,-1.53,-1.57,-1.61,-1.15,44.7,76
4,1,200106,0.97,60.8,-2.74,-2.74,-0.53,-2.74,14,140,0.47,-0.59,-0.71,-1.03,-1.52,-1.58,-1.1,46.4,75.3
